,symbol,base_currency,quote_currency,tick_size,quote_increment,min_order_size,status,wrap_enabled,product_type,contract_type,contract_price_currency
69,btcgusdperp,BTC,GUSD,0.0001,0.5,0.0001,open,False,swap,linear,GUSD
70,btcrlusd,BTC,RLUSD,1e-08,0.01,0.00001,open,False,spot,vanilla,RLUSD
71,btcsgd,BTC,SGD,1e-08,0.01,0.00001,open,False,spot,vanilla,SGD
72,btcusd,BTC,USD,1e-08,0.01,0.00001,open,False,spot,vanilla,USD
73,btcusdc,BTC,USDC,1e-08,0.01,0.00001,open,False,spot,vanilla,USDC
74,btcusdcperp,BTC,USDC,0.0001,0.5,0.0001,open,False,swap,linear,GUSD
75,btcusdt,BTC,USDT,1e-08,0.01,0.00001,open,False,spot,vanilla,USDT
76,chillguygusd,CHILLGUY,GUSD,0.01,0.0001,0.5,open,False,spot,vanilla,GUSD
77,chillguyrlusd,CHILLGUY,RLUSD,0.01,0.0001,0.5,open,False,spot,vanilla,RLUSD
78,chillguyusd,CHILLGUY,USD,0.01,0.0001,0.5,open,False,spot,vanilla,USD
79,chillguyusdc,CHILLGUY,USDC,0.01,0.0001,0.5,open,False,spot,vanilla,USDC
80,chzgusd,CHZ,GUSD,1e-06,1e-05,0.5,open,False,spot,vanilla,GUSD
81,chzrlusd,CHZ,RLUSD,1e-06,1e-05,0.5,open,False,spot,vanilla,RLUSD
82,chzusd,CHZ,USD,1e-06,1e-05,0.5,open,False,spot,vanilla,USD
83,chzusdc,CHZ,USDC,1e-06,1e-05,0.5,open,False,spot,vanilla,USDC
84,compgusd,COMP,GUSD,1e-06,0.01,0.001,open,False,spot,vanilla,GUSD
85,comprlusd,COMP,RLUSD,1e-06,0.01,0.001,open,False,spot,vanilla,RLUSD
86,compusd,COMP,USD,1e-06,0.01,0.001,open,False,spot,vanilla,USD
87,compusdc,COMP,USDC,1e-06,0.01,0.001,open,False,spot,vanilla,USDC
88,crvgusd,CRV,GUSD,1e-06,0.0001,0.1,open,False,spot,vanilla,GUSD
89,crvrlusd,CRV,RLUSD,1e-06,0.0001,0.1,open,False,spot,vanilla,RLUSD
90,crvusd,CRV,USD,1e-06,0.0001,0.1,open,False,spot,vanilla,USD
91,crvusdc,CRV,USDC,1e-06,0.0001,0.1,open,False,spot,vanilla,USDC
92,ctxgusd,CTX,GUSD,1e-06,0.0001,0.002,open,False,spot,vanilla,GUSD
93,ctxrlusd,CTX,RLUSD,1e-06,0.0001,0.002,open,False,spot,vanilla,RLUSD
94,ctxusd,CTX,USD,1e-06,0.0001,0.002,open,False,spot,vanilla,USD
95,ctxusdc,CTX,USDC,1e-06,0.0001,0.002,open,False,spot,vanilla,USDC
96,cubegusd,CUBE,GUSD,1e-06,0.0001,0.01,open,False,spot,vanilla,GUSD
97,cuberlusd,CUBE,RLUSD,1e-06,0.0001,0.01,open,False,spot,vanilla,RLUSD
98,cubeusd,CUBE,USD,1e-06,0.0001,0.01,open,False,spot,vanilla,USD
99,cubeusdc,CUBE,USDC,1e-06,0.0001,0.01,open,False,spot,vanilla,USDC
100,daigusd,DAI,GUSD,1e-06,1e-05,0.1,open,False,spot,vanilla,GUSD
101,dairlusd,DAI,RLUSD,1e-06,1e-05,0.1,open,False,spot,vanilla,RLUSD
102,daiusd,DAI,USD,1e-06,1e-05,0.1,open,False,spot,vanilla,USD
103,daiusdc,DAI,USDC,1e-06,1e-05,0.1,open,False,spot,vanilla,USDC
104,dogebtc,DOGE,BTC,1e-08,1e-09,1,open,False,spot,vanilla,BTC
105,dogeeth,DOGE,ETH,1e-08,1e-08,1,open,False,spot,vanilla,ETH
106,dogegusd,DOGE,GUSD,1e-06,1e-05,0.1,open,False,spot,vanilla,GUSD
107,dogerlusd,DOGE,RLUSD,1e-06,1e-05,0.1,open,False,spot,vanilla,RLUSD
108,dogeusd,DOGE,USD,1e-06,1e-05,0.1,open,False,spot,vanilla,USD
109,dogeusdc,DOGE,USDC,1e-06,1e-05,0.1,open,False,spot,vanilla,USDC
110,dotgusd,DOT,GUSD,1e-06,0.0001,0.01,open,False,spot,vanilla,GUSD
111,dotrlusd,DOT,RLUSD,1e-06,0.0001,0.01,open,False,spot,vanilla,RLUSD
112,dotusd,DOT,USD,1e-06,0.0001,0.01,open,False,spot,vanilla,USD
113,dotusdc,DOT,USDC,1e-06,0.0001,0.01,open,False,spot,vanilla,USDC
114,driftgusd,DRIFT,GUSD,1e-06,0.0001,0.1,open,False,spot,vanilla,GUSD
115,driftrlusd,DRIFT,RLUSD,1e-06,0.0001,0.1,open,False,spot,vanilla,RLUSD
116,driftusd,DRIFT,USD,1e-06,0.0001,0.1,open,False,spot,vanilla,USD
117,driftusdc,DRIFT,USDC,1e-06,0.0001,0.1,open,False,spot,vanilla,USDC
118,efilfil,EFIL,FIL,1e-06,0.0001,0.1,closed,True,spot,vanilla,FIL
119,elongusd,ELON,GUSD,1e-06,1e-09,60000,open,False,spot,vanilla,GUSD
120,elonrlusd,ELON,RLUSD,1e-06,1e-09,60000,open,False,spot,vanilla,RLUSD
121,elonusd,ELON,USD,1e-06,1e-09,60000,open,False,spot,vanilla,USD
122,elonusdc,ELON,USDC,1e-06,1e-09,60000,open,False,spot,vanilla,USDC
123,ensgusd,ENS,GUSD,1e-06,0.001,0.002,open,False,spot,vanilla,GUSD
124,ensrlusd,ENS,RLUSD,1e-06,0.001,0.002,open,False,spot,vanilla,RLUSD
125,ensusd,ENS,USD,1e-06,0.001,0.002,open,False,spot,vanilla,USD
126,ensusdc,ENS,USDC,1e-06,0.001,0.002,open,False,spot,vanilla,USDC
127,ethbtc,ETH,BTC,1e-06,1e-05,0.001,open,False,spot,vanilla,BTC
128,etheur,ETH,EUR,1e-06,0.01,0.001,open,False,spot,vanilla,EUR
129,ethgbp,ETH,GBP,1e-06,0.01,0.001,open,False,spot,vanilla,GBP
130,ethgusd,ETH,GUSD,1e-06,0.01,0.001,open,False,spot,vanilla,GUSD
131,ethgusdperp,ETH,GUSD,0.001,0.05,0.001,open,False,swap,linear,GUSD
132,ethrlusd,ETH,RLUSD,1e-06,0.01,0.001,open,False,spot,vanilla,RLUSD
133,ethsgd,ETH,SGD,1e-06,0.01,0.001,open,False,spot,vanilla,SGD
134,ethusd,ETH,USD,1e-06,0.01,0.001,open,False,spot,vanilla,USD
135,ethusdc,ETH,USDC,1e-06,0.01,0.001,open,False,spot,vanilla,USDC
136,ethusdcperp,ETH,USDC,0.001,0.05,0.001,open,False,swap,linear,GUSD
137,ethusdt,ETH,USDT,1e-06,0.01,0.001,open,False,spot,vanilla,USDT
138,eulgusd,EUL,GUSD,1e-06,0.0001,0.01,open,False,spot,vanilla,GUSD
139,eulrlusd,EUL,RLUSD,1e-06,0.0001,0.01,open,False,spot,vanilla,RLUSD
140,eulusd,EUL,USD,1e-06,0.0001,0.01,open,False,spot,vanilla,USD
141,eulusdc,EUL,USDC,1e-06,0.0001,0.01,open,False,spot,vanilla,USDC
142,eurusd,EUR,USD,1e-06,1e-05,0.1,open,False,spot,vanilla,USD
143,eurusdc,EUR,USDC,1e-06,1e-05,0.1,open,False,spot,vanilla,USDC
144,fartcoingusd,FARTCOIN,GUSD,1e-06,1e-06,0.1,open,False,spot,vanilla,GUSD
145,fartcoinrlusd,FARTCOIN,RLUSD,1e-06,1e-06,0.1,open,False,spot,vanilla,RLUSD
146,fartcoinusd,FARTCOIN,USD,1e-06,1e-06,0.1,open,False,spot,vanilla,USD
147,fartcoinusdc,FARTCOIN,USDC,1e-06,1e-06,0.1,open,False,spot,vanilla,USDC
148,fetgusd,FET,GUSD,1e-06,1e-05,0.1,open,False,spot,vanilla,GUSD
149,fetrlusd,FET,RLUSD,1e-06,1e-05,0.1,open,False,spot,vanilla,RLUSD
150,fetusd,FET,USD,1e-06,1e-05,0.1,open,False,spot,vanilla,USD
151,fetusdc,FET,USDC,1e-06,1e-05,0.1,open,False,spot,vanilla,USDC
152,filgusd,FIL,GUSD,1e-06,0.0001,0.1,open,False,spot,vanilla,GUSD
153,filrlusd,FIL,RLUSD,1e-06,0.0001,0.1,open,False,spot,vanilla,RLUSD
154,filusd,FIL,USD,1e-06,0.0001,0.1,open,False,spot,vanilla,USD
155,filusdc,FIL,USDC,1e-06,0.0001,0.1,open,False,spot,vanilla,USDC
156,flokigusd,FLOKI,GUSD,1e-06,1e-07,400,open,False,spot,vanilla,GUSD
157,flokirlusd,FLOKI,RLUSD,1e-06,1e-07,400,open,False,spot,vanilla,RLUSD
158,flokiusd,FLOKI,USD,1e-06,1e-07,400,open,False,spot,vanilla,USD
159,flokiusdc,FLOKI,USDC,1e-06,1e-07,400,open,False,spot,vanilla,USDC
160,ftmgusd,FTM,GUSD,1e-06,0.0001,0.03,open,False,spot,vanilla,GUSD
161,ftmrlusd,FTM,RLUSD,1e-06,0.0001,0.03,open,False,spot,vanilla,RLUSD
162,ftmusd,FTM,USD,1e-06,0.0001,0.03,open,False,spot,vanilla,USD
163,ftmusdc,FTM,USDC,1e-06,0.0001,0.03,open,False,spot,vanilla,USDC
164,galagusd,GALA,GUSD,1e-06,1e-05,0.4,open,False,spot,vanilla,GUSD
165,galarlusd,GALA,RLUSD,1e-06,1e-05,0.4,open,False,spot,vanilla,RLUSD
166,galausd,GALA,USD,1e-06,1e-05,0.4,open,False,spot,vanilla,USD
167,galausdc,GALA,USDC,1e-06,1e-05,0.4,open,False,spot,vanilla,USDC
168,gmtgusd,GMT,GUSD,1e-06,1e-05,0.1,open,False,spot,vanilla,GUSD
169,gmtrlusd,GMT,RLUSD,1e-06,1e-05,0.1,open,False,spot,vanilla,RLUSD
170,gmtusd,GMT,USD,1e-06,1e-05,0.1,open,False,spot,vanilla,USD
171,gmtusdc,GMT,USDC,1e-06,1e-05,0.1,open,False,spot,vanilla,USDC
172,goatgusd,GOAT,GUSD,1e-06,0.0001,0.1,open,False,spot,vanilla,GUSD
173,goatrlusd,GOAT,RLUSD,1e-06,0.0001,0.1,open,False,spot,vanilla,RLUSD
174,goatusd,GOAT,USD,1e-06,0.0001,0.1,open,False,spot,vanilla,USD
175,goatusdc,GOAT,USDC,1e-06,0.0001,0.1,open,False,spot,vanilla,USDC
176,grtgusd,GRT,GUSD,1e-06,0.0001,0.1,open,False,spot,vanilla,GUSD
177,grtrlusd,GRT,RLUSD,1e-06,0.0001,0.1,open,False,spot,vanilla,RLUSD
178,grtusd,GRT,USD,1e-06,0.0001,0.1,open,False,spot,vanilla,USD
179,grtusdc,GRT,USDC,1e-06,0.0001,0.1,open,False,spot,vanilla,USDC
180,gusdgbp,GUSD,GBP,0.0001,1e-05,0.1,open,False,spot,vanilla,GBP
181,gusdsgd,GUSD,SGD,1e-06,1e-05,0.1,open,False,spot,vanilla,SGD
182,gusdusd,GUSD,USD,0.01,0.01,0.01,closed,True,spot,vanilla,USD
183,hntgusd,HNT,GUSD,1e-06,0.0001,0.04,open,False,spot,vanilla,GUSD
184,hntrlusd,HNT,RLUSD,1e-06,0.0001,0.04,open,False,spot,vanilla,RLUSD
185,hntusd,HNT,USD,1e-06,0.0001,0.04,open,False,spot,vanilla,USD
186,hntusdc,HNT,USDC,1e-06,0.0001,0.04,open,False,spot,vanilla,USDC
187,hypegusd,HYPE,GUSD,1e-06,0.0001,0.002,open,False,spot,vanilla,GUSD
188,hypegusdperp,HYPE,GUSD,0.1,0.001,0.1,open,False,swap,linear,GUSD
189,hyperlusd,HYPE,RLUSD,1e-06,0.0001,0.002,open,False,spot,vanilla,RLUSD
190,hypeusd,HYPE,USD,1e-06,0.0001,0.002,open,False,spot,vanilla,USD
191,hypeusdc,HYPE,USDC,1e-06,0.0001,0.002,open,False,spot,vanilla,USDC
192,hypeusdcperp,HYPE,USDC,0.1,0.001,0.1,open,False,swap,linear,USDC
193,imxgusd,IMX,GUSD,1e-06,1e-05,0.1,open,False,spot,vanilla,GUSD
194,imxrlusd,IMX,RLUSD,1e-06,1e-05,0.1,open,False,spot,vanilla,RLUSD
195,imxusd,IMX,USD,1e-06,1e-05,0.1,open,False,spot,vanilla,USD
196,imxusdc,IMX,USDC,1e-06,1e-05,0.1,open,False,spot,vanilla,USDC
197,injgusd,INJ,GUSD,1e-06,0.0001,0.01,open,False,spot,vanilla,GUSD
198,injrlusd,INJ,RLUSD,1e-06,0.0001,0.01,open,False,spot,vanilla,RLUSD
199,injusd,INJ,USD,1e-06,0.0001,0.01,open,False,spot,vanilla,USD
200,injusdc,INJ,USDC,1e-06,0.0001,0.01,open,False,spot,vanilla,USDC
201,iotxgusd,IOTX,GUSD,1e-06,1e-06,3,open,False,spot,vanilla,GUSD
202,iotxrlusd,IOTX,RLUSD,1e-06,1e-06,3,open,False,spot,vanilla,RLUSD
203,iotxusd,IOTX,USD,1e-06,1e-06,3,open,False,spot,vanilla,USD
204,iotxusdc,IOTX,USDC,1e-06,1e-06,3,open,False,spot,vanilla,USDC
205,jitosolgusd,JITOSOL,GUSD,1e-06,0.0001,0.0005,open,False,spot,vanilla,GUSD
206,jitosolrlusd,JITOSOL,RLUSD,1e-06,0.0001,0.0005,open,False,spot,vanilla,RLUSD
207,jitosolsol,JITOSOL,SOL,1e-06,0.0001,0.0005,open,False,spot,vanilla,SOL
208,jitosolusd,JITOSOL,USD,1e-06,0.0001,0.0005,open,False,spot,vanilla,USD
209,jitosolusdc,JITOSOL,USDC,1e-06,0.0001,0.0005,open,False,spot,vanilla,USDC
210,jtogusd,JTO,GUSD,1e-06,0.0001,0.05,open,False,spot,vanilla,GUSD
211,jtorlusd,JTO,RLUSD,1e-06,0.0001,0.05,open,False,spot,vanilla,RLUSD
212,jtousd,JTO,USD,1e-06,0.0001,0.05,open,False,spot,vanilla,USD
213,jtousdc,JTO,USDC,1e-06,0.0001,0.05,open,False,spot,vanilla,USDC
214,jupgusd,JUP,GUSD,1e-06,1e-06,0.3,open,False,spot,vanilla,GUSD
215,juprlusd,JUP,RLUSD,1e-06,1e-06,0.3,open,False,spot,vanilla,RLUSD
216,jupusd,JUP,USD,1e-06,1e-06,0.3,open,False,spot,vanilla,USD
217,jupusdc,JUP,USDC,1e-06,1e-06,0.3,open,False,spot,vanilla,USDC
218,kmnogusd,KMNO,GUSD,1e-06,1e-06,1,open,False,spot,vanilla,GUSD
219,kmnorlusd,KMNO,RLUSD,1e-06,1e-06,1,open,False,spot,vanilla,RLUSD
220,kmnousd,KMNO,USD,1e-06,1e-06,1,open,False,spot,vanilla,USD
221,kmnousdc,KMNO,USDC,1e-06,1e-06,1,open,False,spot,vanilla,USDC
222,ldogusd,LDO,GUSD,1e-06,0.001,0.02,open,False,spot,vanilla,GUSD
223,ldorlusd,LDO,RLUSD,1e-06,0.001,0.02,open,False,spot,vanilla,RLUSD
224,ldousd,LDO,USD,1e-06,0.001,0.02,open,False,spot,vanilla,USD
225,ldousdc,LDO,USDC,1e-06,0.001,0.02,open,False,spot,vanilla,USDC
226,linkbtc,LINK,BTC,1e-06,1e-08,0.1,limit_only,False,spot,vanilla,BTC
227,linketh,LINK,ETH,1e-06,1e-07,0.1,limit_only,False,spot,vanilla,ETH
228,linkgusd,LINK,GUSD,1e-06,1e-05,0.1,open,False,spot,vanilla,GUSD
229,linkrlusd,LINK,RLUSD,1e-06,1e-05,0.1,open,False,spot,vanilla,RLUSD
230,linksusd,LINKS,USD,1e-06,1e-09,700,open,False,spot,vanilla,USD
231,linkusd,LINK,USD,1e-06,1e-05,0.1,open,False,spot,vanilla,USD
232,linkusdc,LINK,USDC,1e-06,1e-05,0.1,open,False,spot,vanilla,USDC
233,lptgusd,LPT,GUSD,1e-06,0.0001,0.001,open,False,spot,vanilla,GUSD
234,lptrlusd,LPT,RLUSD,1e-06,0.0001,0.001,open,False,spot,vanilla,RLUSD
235,lptusd,LPT,USD,1e-06,0.0001,0.001,open,False,spot,vanilla,USD
236,lptusdc,LPT,USDC,1e-06,0.0001,0.001,open,False,spot,vanilla,USDC
237,lrcgusd,LRC,GUSD,1e-06,1e-05,0.1,open,False,spot,vanilla,GUSD
238,lrcrlusd,LRC,RLUSD,1e-06,1e-05,0.1,open,False,spot,vanilla,RLUSD
239,lrcusd,LRC,USD,1e-06,1e-05,0.1,open,False,spot,vanilla,USD
240,lrcusdc,LRC,USDC,1e-06,1e-05,0.1,open,False,spot,vanilla,USDC
241,ltcbtc,LTC,BTC,1e-05,1e-07,0.01,open,False,spot,vanilla,BTC
242,ltceth,LTC,ETH,1e-05,1e-05,0.01,open,False,spot,vanilla,ETH
243,ltcgusd,LTC,GUSD,1e-05,0.01,0.01,open,False,spot,vanilla,GUSD
244,ltcrlusd,LTC,RLUSD,1e-05,0.01,0.01,open,False,spot,vanilla,RLUSD
245,ltcusd,LTC,USD,1e-05,0.01,0.01,open,False,spot,vanilla,USD
246,ltcusdc,LTC,USDC,1e-05,0.01,0.01,open,False,spot,vanilla,USDC
247,managusd,MANA,GUSD,1e-06,1e-05,1,open,False,spot,vanilla,GUSD
248,manarlusd,MANA,RLUSD,1e-06,1e-05,1,open,False,spot,vanilla,RLUSD
249,manausd,MANA,USD,1e-06,1e-05,1,open,False,spot,vanilla,USD
250,manausdc,MANA,USDC,1e-06,1e-05,1,open,False,spot,vanilla,USDC
251,maskgusd,MASK,GUSD,1e-06,0.001,0.01,open,False,spot,vanilla,GUSD
252,maskrlusd,MASK,RLUSD,1e-06,0.001,0.01,open,False,spot,vanilla,RLUSD
253,maskusd,MASK,USD,1e-06,0.001,0.01,open,False,spot,vanilla,USD
254,maskusdc,MASK,USDC,1e-06,0.001,0.01,open,False,spot,vanilla,USDC
255,mewgusd,MEW,GUSD,0.01,1e-06,10,open,False,spot,vanilla,GUSD
256,mewrlusd,MEW,RLUSD,0.01,1e-06,10,open,False,spot,vanilla,RLUSD
257,mewusd,MEW,USD,0.01,1e-06,10,open,False,spot,vanilla,USD
258,mewusdc,MEW,USDC,0.01,1e-06,10,open,False,spot,vanilla,USDC
259,mongusd,MON,GUSD,1e-06,1e-06,1,open,False,spot,vanilla,GUSD
260,monrlusd,MON,RLUSD,1e-06,1e-06,1,open,False,spot,vanilla,RLUSD
261,monusd,MON,USD,1e-06,1e-06,1,open,False,spot,vanilla,USD
262,monusdc,MON,USDC,1e-06,1e-06,1,open,False,spot,vanilla,USDC
263,moodenggusd,MOODENG,GUSD,1e-06,1e-06,1,open,False,spot,vanilla,GUSD
264,moodengrlusd,MOODENG,RLUSD,1e-06,1e-06,1,open,False,spot,vanilla,RLUSD
265,moodengusd,MOODENG,USD,1e-06,1e-06,1,open,False,spot,vanilla,USD
266,moodengusdc,MOODENG,USDC,1e-06,1e-06,1,open,False,spot,vanilla,USDC
267,opgusd,OP,GUSD,1e-06,0.0001,0.07,open,False,spot,vanilla,GUSD
268,oprlusd,OP,RLUSD,1e-06,0.0001,0.07,open,False,spot,vanilla,RLUSD
269,opusd,OP,USD,1e-06,0.0001,0.07,open,False,spot,vanilla,USD
270,opusdc,OP,USDC,1e-06,0.0001,0.07,open,False,spot,vanilla,USDC
271,paxggusd,PAXG,GUSD,1e-08,0.01,0.0001,open,False,spot,vanilla,GUSD
272,paxgrlusd,PAXG,RLUSD,1e-08,0.01,0.0001,open,False,spot,vanilla,RLUSD
273,paxgusd,PAXG,USD,1e-08,0.01,0.0001,open,False,spot,vanilla,USD
274,paxgusdc,PAXG,USDC,1e-08,0.01,0.0001,open,False,spot,vanilla,USDC
275,pengugusd,PENGU,GUSD,1e-06,1e-07,3,open,False,spot,vanilla,GUSD
276,pengurlusd,PENGU,RLUSD,1e-06,1e-07,3,open,False,spot,vanilla,RLUSD
277,penguusd,PENGU,USD,1e-06,1e-07,3,open,False,spot,vanilla,USD
278,penguusdc,PENGU,USDC,1e-06,1e-07,3,open,False,spot,vanilla,USDC
279,pepegusd,PEPE,GUSD,1e-06,1e-09,1000,open,False,spot,vanilla,GUSD
280,peperlusd,PEPE,RLUSD,1e-06,1e-09,1000,open,False,spot,vanilla,RLUSD
281,pepeusd,PEPE,USD,1e-06,1e-09,1000,open,False,spot,vanilla,USD
282,pepeusdc,PEPE,USDC,1e-06,1e-09,1000,open,False,spot,vanilla,USDC
283,pnutgusd,PNUT,GUSD,0.0001,0.0001,0.2,open,False,spot,vanilla,GUSD
284,pnutrlusd,PNUT,RLUSD,0.0001,0.0001,0.2,open,False,spot,vanilla,RLUSD
285,pnutusd,PNUT,USD,0.0001,0.0001,0.2,open,False,spot,vanilla,USD
286,pnutusdc,PNUT,USDC,0.0001,0.0001,0.2,open,False,spot,vanilla,USDC
287,polgusd,POL,GUSD,1e-06,1e-06,0.4,open,False,spot,vanilla,GUSD
288,polrlusd,POL,RLUSD,1e-06,1e-06,0.4,open,False,spot,vanilla,RLUSD
289,polusd,POL,USD,1e-06,1e-06,0.4,open,False,spot,vanilla,USD
290,polusdc,POL,USDC,1e-06,1e-06,0.4,open,False,spot,vanilla,USDC
291,popcatgusd,POPCAT,GUSD,1e-06,0.0001,0.07,open,False,spot,vanilla,GUSD
292,popcatrlusd,POPCAT,RLUSD,1e-06,0.0001,0.07,open,False,spot,vanilla,RLUSD
293,popcatusd,POPCAT,USD,1e-06,0.0001,0.07,open,False,spot,vanilla,USD
294,popcatusdc,POPCAT,USDC,1e-06,0.0001,0.07,open,False,spot,vanilla,USDC
